threshold,ARI,AMI,homogeneity,completeness,Vmeasure,coverage,num_clusters,phases,eval_entities
0.1,0.9154515493639371,0.5458269958575482,0.9999999999999997,0.44139176106287387,0.6124521771060966,0.7625598086124402,2,2,10032
0.15,0.9738636917390585,0.922373507295085,0.8565570593680142,0.9999999999999998,0.9227371225095472,1.0,5,4,10032
0.2,0.9955458626429908,0.957486484895113,0.9188807975957605,0.9999999999999998,0.9577257730100395,1.0,6,2,10032
0.25,0.9955458626429908,0.957486484895113,0.9188807975957605,0.9999999999999998,0.9577257730100395,1.0,6,2,10032
0.3,0.9986548534896604,0.9653012800003123,0.9333194216905195,1.0,0.9655097975216252,1.0,7,3,10032
0.35,0.9986548534896604,0.9653012800003123,0.9333194216905195,1.0,0.9655097975216252,1.0,7,3,10032
0.4,0.9986548534896604,0.9653012800003123,0.9333194216905195,1.0,0.9655097975216252,1.0,7,2,10032
0.45,0.9986548534896604,0.9653012800003123,0.9333194216905195,1.0,0.9655097975216252,1.0,7,2,10032
0.5,0.9986556282030726,0.9655387906395183,0.9337686668791341,1.0,0.9657501260335575,1.0,8,2,10032
0.55,0.9986556282030726,0.9655387906395183,0.9337686668791341,1.0,0.9657501260335575,1.0,8,2,10032
0.6,0.9986556282030726,0.9655387906395183,0.9337686668791341,1.0,0.9657501260335575,1.0,8,2,10032
0.65,0.9741952115125655,0.9298216218745384,0.9337686668791341,0.9269268607021235,0.9303351850771666,0.9999003189792663,10,3,10032
0.7,0.9741952115125655,0.9298216218745384,0.9337686668791341,0.9269268607021235,0.9303351850771666,0.9999003189792663,10,3,10032
0.75,0.9741952115125655,0.9298216218745384,0.9337686668791341,0.9269268607021235,0.9303351850771666,0.9999003189792663,10,3,10032
0.8,0.9741952115125655,0.9298216218745384,0.9337686668791341,0.9269268607021235,0.9303351850771666,0.9999003189792663,10,2,10032
0.85,0.9741952115125655,0.9298216218745384,0.9337686668791341,0.9269268607021235,0.9303351850771666,0.9999003189792663,10,2,10032
0.9,0.973973585901188,0.9244575252349231,0.9337686668791341,0.9165071066056415,0.925057368619807,0.9999003189792663,13,6,10032
