threshold,ARI,AMI,homogeneity,completeness,Vmeasure,mBCubedPrecision,mBCubedRecall,mBCubedF1,coverage,num_clusters,phases,eval_entities
0.1,0.2043532476111252,0.2369100654428146,0.9999999999999998,0.3529535908347004,0.5217526945871762,1.0,1.0,1.0,0.29131022062134176,6,2,2221
0.15,0.2043532476111252,0.2369100654428146,0.9999999999999998,0.3529535908347004,0.5217526945871762,1.0,1.0,1.0,0.29131022062134176,6,2,2221
0.2,0.2043532476111252,0.2369100654428146,0.9999999999999998,0.3529535908347004,0.5217526945871762,1.0,1.0,1.0,0.29131022062134176,6,2,2221
0.25,0.7942955596672169,0.5195872154011649,0.9999999999999998,0.4911699867269164,0.6587712884498476,1.0,1.0,1.0,0.5677622692480865,7,2,2221
0.3,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,3,2221
0.35,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,3,2221
0.4,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,3,2221
0.45,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,3,2221
0.5,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,3,2221
0.55,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,2,2221
0.6,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,2,2221
0.65,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,2,2221
0.7,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,2,2221
0.75,0.9024679682813003,0.9637783172764791,0.9309042498398571,1.0000000000000002,0.9642158588827627,0.889146115383704,1.0,0.9413206402016285,1.0,11,3,2221
0.8,0.8514999014193722,0.9059134590657991,0.9468980049443667,0.8733450959570279,0.9086354768548626,0.9168089478916375,1.0,0.9565991946146395,0.9968482665466006,27,6,2221
0.85,0.8394141098372457,0.8888689873597726,0.946986508063326,0.8446447737906184,0.892892653736464,0.9169220490624682,1.0,0.9566607567698625,0.9936965330932013,32,6,2221
0.9,0.256716938353984,0.5816700221859128,0.9911046733168508,0.47547070414236553,0.6426416863989071,0.9883375147664994,1.0,0.9941345545477625,0.9608284556506078,203,6,2221
