threshold,ARI,AMI,homogeneity,completeness,Vmeasure,coverage,num_clusters,phases,eval_entities
0.1,0.6626153168775635,0.5133621610133969,0.8383235007236672,0.47259582328856353,0.604443275416933,0.7418952618453866,4,2,5614
0.15,0.8877008924196031,0.6204560223136898,1.0000000000000002,0.5220217897111311,0.6859583656948922,0.750801567509797,6,2,5614
0.2,0.8877008924196031,0.6204560223136898,1.0000000000000002,0.5220217897111311,0.6859583656948922,0.750801567509797,6,2,5614
0.25,0.8877155282593808,0.621791470031946,1.0000000000000002,0.522850536396636,0.6866734770095079,0.7529390808692554,7,2,5614
0.3,0.8877155282593808,0.621791470031946,1.0000000000000002,0.522850536396636,0.6866734770095079,0.7529390808692554,7,2,5614
0.35,0.8877155282593808,0.621791470031946,1.0000000000000002,0.522850536396636,0.6866734770095079,0.7529390808692554,7,3,5614
0.4,0.8897790204709182,0.6472024666658883,1.0,0.5423119791370805,0.7032454995784998,0.77734235838974,8,3,5614
0.45,1.0,1.0,1.0,1.0,1.0,1.0,10,2,5614
0.5,0.9992781224812469,0.9959294064136406,0.9999999999999999,0.9919280142125678,0.9959476518579798,1.0,11,3,5614
0.55,0.9992781224812469,0.9959294064136406,0.9999999999999999,0.9919280142125678,0.9959476518579798,1.0,11,3,5614
0.6,0.9990938475557959,0.9948969083639602,0.9999999999999999,0.9898939416923888,0.9949213080677977,1.0,12,2,5614
0.65,0.9963713217647765,0.9866760714383234,0.9999999999999999,0.9738373141778556,0.9867452673864149,1.0,13,4,5614
0.7,0.9004315543781481,0.8726517956444768,0.9999999999999999,0.7813888804469467,0.8772805186152254,0.972568578553616,43,6,5614
0.75,0.6705429851297635,0.5694949227539664,1.0000000000000002,0.4590943183059077,0.6292866918143339,0.814214463840399,108,6,5614
0.8,0.47553167454832324,0.6141208034618127,1.0000000000000002,0.4799430022942466,0.6485966034505739,0.9079087994299965,151,6,5614
0.85,0.39766588814272924,0.5384247214012698,0.9999999999999999,0.41848079041583464,0.5900408285305787,0.8762023512646954,219,6,5614
0.9,0.1660588223934262,0.40233527593811436,1.0000000000000002,0.3251409393631763,0.49072657813957427,0.75347345920912,154,6,5614
