threshold,coverage,num_clusters,phases,silhouette,calinski_harabasz,davies_bouldin
0.1,0.7625598086124402,2,2,0.8847721300770927,66169.90592599638,0.2657851953683668
0.15,1.0,5,4,0.8370644693902884,14590.595286800753,0.5669291633730342
0.2,1.0,6,2,0.8687132054495689,19732.414233805022,0.5215638190690365
0.25,1.0,6,2,0.8687132054495689,19732.414233805022,0.5215638190690365
0.3,1.0,7,3,0.8721522951063225,18160.75267889731,0.5204479690450549
0.35,1.0,7,3,0.8721522951063225,18160.75267889731,0.5204479690450549
0.4,1.0,7,2,0.8721522951063225,18160.75267889731,0.5204479690450551
0.45,1.0,7,2,0.8721522951063225,18160.75267889731,0.5204479690450551
0.5,1.0,8,2,0.8724915861923539,15637.134332168423,0.355644254583696
0.55,1.0,8,2,0.8724915861923539,15637.134332168423,0.355644254583696
0.6,1.0,8,2,0.8724915861923539,15637.134332168423,0.355644254583696
0.65,0.9999003189792663,10,3,0.9123052156068351,21024.850505931172,0.2915048604330576
0.7,0.9999003189792663,10,3,0.9123052156104272,21024.850505931172,0.2915048609201916
0.75,0.9999003189792663,10,3,0.9123052156104272,21024.850505931172,0.2915048609201916
0.8,0.9999003189792663,10,2,0.9123052156047411,21021.93360254511,0.29150486123830277
0.85,0.9999003189792663,10,2,0.9123052156074518,21024.850505931172,0.29150486092019157
0.9,0.9999003189792663,13,6,0.8936339513394114,13883.775516510523,0.9856102328930209
