threshold,coverage,num_clusters,phases,silhouette,calinski_harabasz,davies_bouldin
0.1,0.7418952618453866,4,2,0.48733554183896377,1195.8528737875154,0.8989777407410977
0.15,0.750801567509797,6,2,0.638988721984554,2173.9933320543464,0.6807715061508408
0.2,0.750801567509797,6,2,0.638988721984554,2173.9933320543464,0.6807715061508408
0.25,0.7529390808692554,7,2,0.6373077069175972,1798.046681138505,0.7049426655316277
0.3,0.7529390808692554,7,2,0.6373077069175972,1798.046681138505,0.7049426655316277
0.35,0.7529390808692554,7,3,0.6373077069175972,1798.046681138505,0.7049426655316277
0.4,0.77734235838974,8,3,0.6408068759598822,1651.4792872943813,0.7119032358258375
0.45,1.0,10,2,0.5913271710232191,1513.3099646159826,0.9678737346335119
0.5,1.0,11,3,0.5978651876619709,1402.9312823256678,0.895448649265035
0.55,1.0,11,3,0.5978651876619709,1402.9312823256673,0.895448649265035
0.6,1.0,12,2,0.592700104561084,1267.298284547375,0.8969144021101395
0.65,1.0,13,4,0.6093314526808579,1214.686717462824,0.8457098432370623
0.7,0.972568578553616,43,6,0.34415385922092145,410.11584952423175,1.788094333161225
0.75,0.814214463840399,108,6,-0.484193318537036,69.66308737929941,8.473609487580298
0.8,0.9079087994299965,151,6,-0.11282553737775683,132.74486311392172,3.8854716482389406
0.85,0.8762023512646954,219,6,-0.14674817807801266,90.53486553624946,6.440909707486689
0.9,0.75347345920912,154,6,-0.13193359678530592,265.3446517578307,1772214.7159464704
